Typ aktywności,Data,Ulubiony,Tytuł,Dystans,Kalorie,Czas,Średnie tętno,Maksymalne tętno,Średni rytm biegu,Maksymalny rytm biegu,Średnia prędkość,Maksymalna prędkość,Całkowity wznios,Całkowity spadek,Średnia długość kroku,Średnie odchylenie do długości,Średnie odchylenie pionowe,Training Stress Score® (TSS®),Trudność,Płynność,Łącznie ruchów,Razem powtórzeń,Razem serii,Czas nurkowania,Minimalna temperatura,Przerwa powierzchniowa,Dekompresja,Czas najlepszego okrążenia,Liczba okrążeń,Maksymalna temperatura,Czas ruchu,Upłynęło czasu,Minimalna wysokość,Maksymalna wysokość
Bieganie,2021-04-22 20:51:51,false,"Gdańsk Bieg","3.90","407","01:09:10","112","149","39","245","17:43","2:41","2","13","1.45","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:09:09.80","1","0.0","00:44:19","01:09:10","-16","30"
Kolarstwo,2021-04-21 17:19:23,false,"Gdańsk Kolarstwo","39.14","762","01:56:09","122","169","--","--","20.2","39.5","112","119","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:56:09.35","1","0.0","01:54:11","02:16:58","-23","75"
Kolarstwo,2021-04-20 16:16:49,false,"Gdańsk Kolarstwo","32.54","810","01:57:07","121","158","--","--","16.7","37.6","227","228","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:57:07.24","1","0.0","01:54:31","02:08:29","55","169"
Kolarstwo,2021-04-14 15:43:03,false,"Gdańsk Kolarstwo","11.04","279","00:43:04","111","141","--","--","15.4","36.8","109","110","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","43:04.24","1","0.0","00:42:26","00:53:17","3","79"
Chodzenie,2021-04-13 17:40:16,false,"Krynica Morska Spacerowanie","2.07","122","00:22:07","100","113","92","121","10:41","1:24","32","33","1.02","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:05.85","3","0.0","00:20:21","00:22:07","-26","-1"
Kolarstwo,2021-04-11 09:52:29,false,"Gdańsk Kolarstwo","53.20","815","02:54:37","99","168","--","--","18.3","29.3","116","110","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","02:54:37.08","1","0.0","02:52:22","03:45:22","-28","72"
Kolarstwo,2021-03-31 14:56:34,false,"Gdańsk Kolarstwo","40.45","990","02:07:02","126","174","--","--","19.1","40.6","142","145","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","02:07:02.31","1","0.0","02:05:35","02:42:29","-5","91"
Kolarstwo,2021-03-30 14:49:00,false,"Gdańsk Kolarstwo","33.00","887","01:47:52","135","174","--","--","18.4","54.1","300","328","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:47:51.57","1","0.0","01:47:10","01:58:22","48","163"
Chodzenie,2021-03-28 12:11:07,false,"Gdańsk Spacerowanie","2.98","210","00:34:55","111","127","114","125","11:43","9:30","29","33","0.75","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","11:30.75","3","0.0","00:34:22","00:34:55","48","112"
Kolarstwo,2021-03-27 10:02:09,false,"Gdańsk Kolarstwo","28.54","632","01:48:47","113","155","--","--","15.7","42.0","128","132","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:48:46.79","1","0.0","01:46:19","02:36:54","36","124"
Kolarstwo,2021-03-23 14:42:34,false,"Gdańsk Kolarstwo","15.20","404","00:55:14","117","165","--","--","16.5","32.0","98","111","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","55:14.01","1","0.0","00:53:52","01:00:33","-11","126"
Chodzenie,2021-03-21 14:55:04,false,"Gdańsk Spacerowanie","3.87","269","00:51:11","104","128","89","155","13:14","7:58","35","58","0.89","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","12:05.40","4","0.0","00:46:57","00:51:11","70","143"
