Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Cycling,2021-09-29 20:08:29,false,"Warszawa Kolarstwo","1.57","41","00:05:38.8","121","142","--","--","16.7","28.0","4","2","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","05:38.76","1","0.0","00:05:31","00:06:22.8","81","88"
Cycling,2021-09-29 18:48:31,false,"Warszawa Kolarstwo","1.57","49","00:06:11.0","128","147","--","--","15.2","20.1","12","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","06:11.00","1","0.0","00:06:01","00:06:21","85","92"
Cycling,2021-09-26 18:06:48,false,"Warszawa Kolarstwo","1.24","36","00:05:08.6","119","136","--","--","14.4","18.4","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","05:08.60","1","0.0","00:05:04","00:05:15.6","64","66"
Cycling,2021-09-26 17:53:30,false,"Warszawa Kolarstwo","1.59","45","00:06:59.3","115","131","--","--","13.7","18.9","2","2","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","06:59.33","1","0.0","00:06:47","00:08:59.3","80","85"
Running,2021-09-26 17:09:32,false,"Warszawa Bieganie","5.08","324","00:29:34","167","189","165","176","5:49","5:07","20","14","1.04","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:28.80","6","0.0","00:29:14","00:29:34","82","97"
Cycling,2021-09-25 12:04:03,false,"Gdańsk Kolarstwo","48.35","1,031","02:52:59","126","163","--","--","16.8","33.2","182","199","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","11:44.92","10","0.0","02:49:26","04:26:29","-41","55"
Cycling,2021-09-24 17:27:26,false,"Gdańsk Kolarstwo","33.31","639","01:48:35","126","158","--","--","18.4","32.5","79","170","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","12:44.74","7","0.0","01:47:19","02:18:17","4","53"
Hiking,2021-09-21 18:35:31,false,"Ledro Chodzenie","1.58","127","00:24:26","116","146","64","160","15:30","2:02","41","99","1.04","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","06:48.10","2","0.0","00:00:00","00:24:26","386","487"
Hiking,2021-09-21 17:28:21,false,"Ledro Chodzenie","0.79","150","00:27:50","113","146","19","154","35:23","6:54","10","87","1.47","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","27:49.85","1","0.0","00:00:00","00:27:50","384","482"
Hiking,2021-09-20 18:31:32,false,"Arco Chodzenie","1.67","117","00:32:15","94","126","67","164","19:15","10:09","--","251","0.78","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","09:11.73","2","0.0","00:00:00","00:32:15","57","309"
Hiking,2021-09-20 14:33:53,false,"Arco Chodzenie","1.92","300","00:43:35","129","165","53","206","22:44","6:23","266","18","0.83","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","21:15.57","2","0.0","00:00:00","00:43:35","123","358"
Cycling,2021-09-19 16:46:47,false,"Arco Kolarstwo","35.86","734","01:51:04","138","165","--","--","19.4","33.7","247","257","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","03:06.29","8","0.0","01:50:35","02:00:13","88","278"
Hiking,2021-09-19 11:56:37,false,"Drena Chodzenie","1.42","140","00:34:13","106","135","47","243","24:09","9:15","40","177","0.88","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","08:53.92","2","0.0","00:00:00","00:34:17","205","384"
Cycling,2021-09-14 19:23:31,false,"Warszawa Kolarstwo","3.23","77","00:12:57","112","123","--","--","14.9","20.3","2","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","12:56.89","1","0.0","00:12:21","00:15:10","84","88"
Cycling,2021-09-11 10:20:49,false,"Stegna Kolarstwo","85.55","2,091","05:07:40","131","167","--","--","16.7","33.5","288","492","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","03:38.97","19","0.0","05:05:14","06:18:16","--","34"
Walking,2021-09-10 19:11:23,false,"Gdańsk Chodzenie","6.25","368","01:30:42","104","134","84","216","14:31","9:30","8","4","0.83","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","03:11.83","7","0.0","00:00:00","01:30:42","14","23"
