Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Bike Cadence,Max Bike Cadence,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Mountaineering,2021-10-02 10:03:03,false,"Zakopane Climb","20.40","2,030","06:22:08","116","164","2.2","81","234","3.2","9.9","1,398","1,584","0.66","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","13.0","0:00","No","06:22:08.39","1","0.0","--","--","--","05:20:32","09:18:34","1,420","2,512"
Cycling,2021-09-30 16:06:59,false,"Warsaw Cycling","9.09","211","00:30:02","120","161","1.4","--","--","18.2","30.6","21","38","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","17.0","0:00","No","13:40.07","2","0.0","--","--","--","00:25:26","00:30:02","554","585"
Cardio,2021-09-27 11:40:10,false,"Squash","0.00","165","00:35:19","104","139","0.4","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","24.0","0:00","No","35:19.41","1","0.0","--","--","--","00:00:00","00:35:19","881","886"
Road Cycling,2021-09-26 11:22:29,false,"Rankweil Road Cycling","66.82","1,241","04:08:58","118","155","2.3","--","--","16.1","100.7","1,650","1,691","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","14.0","0:00","No","08:16.55","9","0.0","22","13","37","04:01:46","04:42:25","467","1,734"
Walking,2021-09-25 15:53:27,false,"Otelfingen Walking","6.14","461","01:34:31","92","136","0.7","75","234","15:23","6:19","154","163","0.88","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","25.0","0:00","No","03:12.87","7","0.0","--","--","--","01:20:29","01:34:32","935","1,062"
Open Water Swimming,2021-09-25 10:19:48,false,"Zug swimming","4,225","180","01:03:27","86","154","0.6","22","145","1:30","0:23","4,628","4,700","3.05","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","19.0","0:00","No","01:03:26.61","1","0.0","--","--","--","00:54:30","01:03:27","143","852"
Running,2021-09-24 17:33:00,false,"Otelfingen Running","10.01","865","00:59:40","168","205","5.0","164","210","5:58","4:35","210","226","1.02","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","22.0","0:00","No","00:02.20","11","0.0","--","--","--","00:59:36","00:59:40","419","543"
Stand Up Paddleboarding,2021-09-18 18:21:17,false,"Aeugst am Albis SUP","1.00","60","00:09:50.9","99","131","0.6","--","--","9:49","7:42","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","283","--","--","0:00","20.0","0:00","No","00:03.83","2","0.0","--","--","--","00:00:00","00:09:50.9","--","--"
Mountain Biking,2021-09-18 12:07:12,false,"Otelfingen Mountain Biking","30.06","911","02:14:40","119","174","3.3","--","--","13.4","53.0","913","946","0.00","0.0","0.0","73","142","0.0","103.6","2.2","7810","--","--","0:00","15.0","0:00","No","02:14:39.71","1","0.0","25","16","37","02:13:09","03:03:34","379","852"
Cycling,2021-09-12 09:13:40,false,"Flüelen Cycling","111.83","2,615","05:54:05","130","161","2.9","--","--","19.0","71.4","2,062","1,953","0.00","0.0","0.0","76","173","0.0","0.0","0.0","22506","--","--","0:00","17.0","0:00","No","03:39.63","23","0.0","--","--","--","00:00:00","08:59:03","439","2,201"
