Typ aktywności,Data,Ulubiony,Tytuł,Dystans,Kalorie,Czas,Średnie tętno,Maksymalne tętno,Aerobowy TE,Średni rytm biegu,Maksymalny rytm biegu,Średnia prędkość,Maksymalna prędkość,Całkowity wznios,Całkowity spadek,Średnia długość kroku,Średnie odchylenie do długości,Średnie odchylenie pionowe,Training Stress Score® (TSS®),Trudność,Płynność,Łącznie ruchów,Średni Swolf,Średnie tempo ruchów,Czas nurkowania,Minimalna temperatura,Przerwa powierzchniowa,Dekompresja,Czas najlepszego okrążenia,Liczba okrążeń,Maksymalna temperatura,Czas ruchu,Upłynęło czasu,Minimalna wysokość,Maksymalna wysokość
Bieganie,2021-11-13 11:36:00,false,"Gdańsk Bieganie","5.01","317","00:27:09","152","168","3.5","164","169","5:25","4:36","24","21","1.12","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","11.0","0:00","Nie","00:02.11","6","0.0","00:27:07","00:27:09","144","154"
Bieganie,2021-11-11 10:22:24,false,"Gdańsk Bieganie","5.01","339","00:29:17","153","167","3.6","164","169","5:51","4:44","13","10","1.04","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","14.0","0:00","Nie","00:02.43","6","0.0","00:29:12","00:29:17","143","153"
Bieganie,2021-11-09 18:30:58,false,"Gdańsk Bieganie","5.01","339","00:28:02","164","173","4.0","166","171","5:35","0:37","20","22","1.08","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","13.0","0:00","Nie","00:04.55","6","0.0","00:27:59","00:28:02","143","153"
Bieganie,2021-11-07 12:47:05,false,"Pierwszy bieg po zabiegu","5.01","325","00:29:21","152","165","3.5","163","169","5:52","5:18","29","29","1.04","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","16.0","0:00","Nie","00:01.37","6","0.0","00:29:20","00:29:21","143","155"
Chodzenie,2021-10-31 13:53:18,false,"Żukowo Chodzenie","5.31","365","01:09:25","98","132","0.4","89","141","13:05","7:58","25","20","0.86","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","21.0","0:00","Nie","03:49.41","6","0.0","01:04:16","01:45:33","147","162"
Bieganie,2021-10-10 10:57:25,false,"Gdańsk Bieganie","11.01","811","01:01:16","158","178","4.2","165","171","5:34","4:40","116","117","1.09","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","14.0","0:00","Nie","00:01.99","12","0.0","01:01:05","01:01:58","89","156"
Jazda górska,2021-10-09 13:31:27,false,"Gdańsk Jazda górska","40.02","1,124","02:13:28","131","165","2.5","--","--","18.0","36.6","303","300","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","15.0","0:00","Nie","00:01.05","10","0.0","02:12:58","02:49:10","26","168"
Bieganie,2021-10-07 16:00:45,false,"Gdańsk Bieganie","5.01","361","00:28:04","154","175","3.2","166","171","5:36","4:38","21","22","1.07","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","16.0","0:00","Nie","00:02.34","6","0.0","00:27:58","00:28:12","142","151"
Bieganie,2021-10-01 08:22:26,false,"Gdańsk Bieganie","5.50","396","00:29:52","155","186","3.4","167","173","5:26","4:33","27","26","1.10","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","12.0","0:00","Nie","02:25.10","6","0.0","00:29:50","00:29:52","143","154"
Bieganie,2021-09-30 08:33:13,false,"Gdańsk Bieganie","8.66","618","00:48:43","153","170","3.6","164","173","5:38","4:15","96","101","1.08","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","14.0","0:00","Nie","03:38.02","9","0.0","00:48:32","00:48:49","60","154"
Jazda górska,2021-09-27 16:28:26,false,"Gdańsk Jazda górska","24.91","676","01:25:48","123","165","2.0","--","--","17.4","43.6","224","236","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","17.0","0:00","Nie","13:34.24","5","0.0","01:25:25","02:03:20","3","158"
Bieganie,2021-09-26 11:05:30,false,"Gdańsk Bieganie","11.01","815","01:03:00","157","183","4.3","165","171","5:43","4:27","114","117","1.06","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","18.0","0:00","Nie","00:02.16","12","0.0","01:02:57","01:03:00","91","159"
Bieganie,2021-09-22 19:49:55,false,"Gdańsk Bieganie","5.01","328","00:24:54","152","168","3.1","165","169","4:58","4:15","18","19","1.22","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","13.0","0:00","Nie","00:01.75","6","0.0","00:24:53","00:24:54","145","156"
Jazda górska,2021-09-19 14:16:11,false,"Gdańsk Jazda górska","40.06","935","02:07:41","125","165","2.1","--","--","18.8","44.9","298","303","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","14.0","0:00","Nie","00:15.65","9","0.0","02:07:25","02:12:54","93","167"
Bieganie,2021-09-18 11:39:19,false,"Gdańsk Bieganie","15.01","1,105","01:25:07","158","185","4.8","167","207","5:40","4:29","133","145","1.05","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","14.0","0:00","Nie","00:02.38","16","0.0","01:25:04","01:25:07","59","158"
Bieganie,2021-09-17 09:31:47,false,"Gdańsk Bieganie","5.46","371","00:29:05","155","168","3.3","167","173","5:19","4:16","21","23","1.13","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","19.0","0:00","Nie","02:08.38","6","0.0","00:28:59","00:29:05","142","152"
Jazda po żwirze/drogach nieutwardz.,2021-09-16 17:09:07,false,"Gdańsk Kolarstwo","26.56","708","01:23:05","130","159","2.1","--","--","19.2","43.5","215","222","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","21.0","0:00","Nie","04:30.05","6","0.0","01:22:58","01:36:24","6","160"
Bieganie,2021-09-15 08:30:31,false,"Gdańsk Bieganie","5.52","383","00:30:11","154","166","3.3","165","171","5:28","3:52","44","45","1.11","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","17.0","0:00","Nie","02:31.03","6","0.0","00:00:00","00:30:11","142","167"
Kolarstwo,2021-09-13 15:25:20,false,"Gdańsk Kolarstwo","30.19","795","01:29:05","134","176","2.6","--","--","20.3","40.7","155","165","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","17.0","0:00","Nie","00:34.64","7","0.0","01:29:03","01:38:41","116","166"
Bieganie,2021-09-12 08:18:27,false,"Gdańsk Bieganie","11.01","854","01:07:48","158","180","4.1","165","170","6:10","4:33","117","117","0.98","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","20.0","0:00","Nie","00:02.23","12","0.0","01:07:40","01:07:55","92","156"
