Typ aktywności,Data,Ulubiony,Tytuł,Dystans,Kalorie,Czas,Średnie tętno,Maksymalne tętno,Aerobowy TE,Średni rytm biegu,Maksymalny rytm biegu,Średnie tempo,Najlepsze tempo,Całkowity wznios,Całkowity spadek,Średnia długość kroku,Średnie odchylenie do długości,Średnie odchylenie pionowe,Training Stress Score® (TSS®),Trudność,Płynność,Łącznie ruchów,Średni Swolf,Średnie tempo ruchów,Razem powtórzeń,Razem serii,Czas nurkowania,Minimalna temperatura,Przerwa powierzchniowa,Dekompresja,Czas najlepszego okrążenia,Liczba okrążeń,Maksymalna temperatura,Średnia częstotliwość oddechu,Minimalna częstotliwość oddechu,Maksymalna częstotliwość oddechu,Zmiana poziomu stresu,Początek stresu,Koniec stresu,Czas ruchu,Upłynęło czasu,Minimalna wysokość,Maksymalna wysokość
Kolarstwo,2021-08-02 07:57:42,false,"Gdańsk Kolarstwo","11.54","285","00:34:55","113","149","1.7","--","--","19.8","38.3","29","45","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","04:41.85","3","0.0","--","--","--","--","--","--","00:29:39","00:34:55","5","38"
Kolarstwo,2021-08-01 11:00:16,false,"Gdańsk Kolarstwo","34.63","705","02:06:32","101","137","0.9","--","--","16.4","26.7","36","54","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","13:47.12","7","0.0","--","--","--","--","--","--","02:01:21","02:21:34","-3","41"
Kolarstwo,2021-07-29 15:50:08,false,"Gdańsk Kolarstwo","11.73","402","00:41:04","124","152","2.2","--","--","17.1","32.6","45","20","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","08:08.55","3","0.0","--","--","--","--","--","--","00:34:37","00:42:21","6","48"
Kolarstwo,2021-07-29 08:11:58,false,"Gdańsk Kolarstwo","9.64","320","00:30:02","126","154","2.2","--","--","19.3","40.1","25","15","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","13:39.93","2","0.0","--","--","--","--","--","--","00:26:23","00:30:02","6","27"
Bieganie,2021-07-29 08:05:48,false,"Gdańsk Bieg","2.06","58","00:05:48.7","111","130","0.6","2","112","2:50","2:06","--","34","200.50","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:06.65","3","0.0","--","--","--","--","--","--","00:05:25.6","00:05:48.7","7","46"
Kolarstwo,2021-07-28 14:34:05,false,"Gdańsk Kolarstwo","12.58","422","00:40:01","129","168","2.8","--","--","18.9","35.6","82","45","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","11:17.78","3","0.0","--","--","--","--","--","--","00:37:59","00:42:11","5","78"
Kolarstwo,2021-07-28 07:53:33,false,"Gdańsk Kolarstwo","11.83","284","00:38:18","110","156","1.4","--","--","18.5","33.0","17","41","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","06:23.45","3","0.0","--","--","--","--","--","--","00:33:00","00:38:18","6","48"
Bieganie,2021-07-27 18:38:06,false,"Gdańsk Bieg","5.69","909","01:23:02","143","183","3.6","52","239","14:35","3:14","16","15","1.34","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","09:06.02","6","0.0","--","--","--","--","--","--","00:58:33","01:23:02","59","63"
Kolarstwo,2021-07-26 16:28:28,false,"Gdańsk Kolarstwo","6.11","245","00:29:32","114","149","1.3","--","--","12.4","27.3","13","13","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","03:13.24","2","0.0","--","--","--","--","--","--","00:18:29","01:04:04","7","22"
Kolarstwo,2021-07-26 08:06:27,false,"Gdańsk Kolarstwo","12.11","329","00:39:26","115","140","1.9","--","--","18.4","32.4","20","46","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","05:43.21","3","0.0","--","--","--","--","--","--","00:34:09","00:39:26","5","46"
