Typ aktywności,Data,Ulubiony,Tytuł,Dystans,Kalorie,Czas,Średnie tętno,Maksymalne tętno,Aerobowy TE,Średni rytm biegu,Maksymalny rytm biegu,Średnie tempo,Najlepsze tempo,Całkowity wznios,Całkowity spadek,Średnia długość kroku,Średnie odchylenie do długości,Średnie odchylenie pionowe,Training Stress Score® (TSS®),Trudność,Płynność,Łącznie ruchów,Średni Swolf,Średnie tempo ruchów,Razem powtórzeń,Razem serii,Czas nurkowania,Minimalna temperatura,Przerwa powierzchniowa,Dekompresja,Czas najlepszego okrążenia,Liczba okrążeń,Maksymalna temperatura,Średnia częstotliwość oddechu,Minimalna częstotliwość oddechu,Maksymalna częstotliwość oddechu,Zmiana poziomu stresu,Początek stresu,Koniec stresu,Czas ruchu,Upłynęło czasu,Minimalna wysokość,Maksymalna wysokość
Kolarstwo,2019-10-20 11:37:37,false,"Gdańsk Kolarstwo","41.90","1,336","02:49:00","123","160","2.9","--","--","14.9","41.5","404","407","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","02:33:19","02:59:11","8","157"
Inne,2019-10-04 18:44:41,false,"Gdańsk Football","6.47","588","01:43:37","101","136","1.3","47","249","3.7","19.5","7","3","1.32","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","20:51.91","2","0.0","--","--","--","--","--","--","01:17:38","01:43:37","44","50"
Inne,2019-09-27 18:39:12,false,"Gdańsk Football","16.92","838","02:18:10","106","150","2.2","31","249","7.3","73.2","21","55","3.96","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","01:31:03","02:18:13","2","57"
Bieganie,2019-09-23 19:16:48,false,"Gdańsk - Bieg progresywny","6.43","576","00:35:01","162","176","4.1","155","164","5:27","4:12","37","37","1.19","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:01.17","8","0.0","--","--","--","--","--","--","00:34:47","00:35:45","4","37"
Inne,2019-09-20 18:41:49,false,"Gdańsk Football","8.19","638","01:51:23","102","129","1.1","51","249","4.4","21.5","5","4","1.44","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","01:31:19","01:51:23","49","50"
Bieganie,2019-09-15 18:38:39,false,"Gdańsk - Spokojny bieg","5.66","487","00:30:01","162","179","4.0","155","193","5:18","4:17","12","12","1.22","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:01.09","7","0.0","--","--","--","--","--","--","00:29:33","00:33:57","6","18"
Inne,2019-09-13 18:44:44,false,"Gdańsk Football","6.90","626","01:46:07","103","131","0.7","44","239","3.9","20.1","1","1","1.47","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","01:18:57","01:46:07","48","51"
Bieganie,2019-09-11 19:23:18,false,"Gdańsk - Spokojny bieg","9.01","845","00:49:09","169","179","5.0","156","166","5:27","4:33","24","24","1.17","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:51.62","11","0.0","--","--","--","--","--","--","00:48:46","00:50:45","6","23"
Inne,2019-09-09 19:01:06,false,"Squash","0.00","377","01:01:25","102","130","0.9","15","230","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:06.76","3","0.0","--","--","--","--","--","--","00:00:00","01:01:25","--","--"
Inne,2019-09-06 18:37:22,false,"Gdańsk Football","8.02","680","01:52:14","105","127","1.0","54","249","4.3","20.3","--","1","1.32","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","01:31:02","01:52:14","49","50"
Bieganie,2019-09-05 19:11:13,false,"Gdańsk - Spokojny bieg","7.45","645","00:40:02","159","179","4.2","152","199","5:23","4:51","22","22","1.22","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:02.06","9","0.0","--","--","--","--","--","--","00:39:30","00:40:58","5","20"
Bieganie,2019-09-04 20:29:05,false,"Gdańsk - Serie z prawie sprintem","5.13","402","00:28:22","146","176","3.1","152","176","5:32","3:12","15","17","1.19","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:01.64","22","0.0","--","--","--","--","--","--","00:28:13","00:28:25","8","21"
Bieganie,2019-09-01 19:34:35,false,"Gdańsk - Spokojny bieg","4.79","464","00:30:00","156","186","3.5","150","184","6:16","5:12","54","61","1.06","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","03:42.16","6","0.0","--","--","--","--","--","--","00:29:49","00:30:59","9","72"
Inne,2019-08-30 18:38:41,false,"Gdańsk Football","5.64","581","01:28:03","108","150","1.6","50","246","3.8","20.3","2","2","1.28","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","01:06:38","01:30:16","49","50"
Bieganie,2019-08-29 17:44:31,false,"Gdańsk - Spokojny bieg","5.17","540","00:35:01","160","175","3.6","146","173","6:47","3:30","92","86","1.01","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:01.39","8","0.0","--","--","--","--","--","--","00:34:42","00:36:22","15","80"
Kolarstwo,2019-08-29 12:11:28,false,"Gdańsk Kolarstwo","8.56","206","00:32:05","101","131","0.5","--","--","16.0","27.1","17","28","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","00:27:52","00:43:45","1","18"
Inne,2019-08-26 20:07:18,false,"Squash","0.00","341","00:50:05","107","136","1.1","20","234","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","00:00:00","00:52:17","--","--"
Bieg na bieżni,2019-08-26 19:35:40,false,"Bieg na bieżni","2.00","164","00:14:03","126","149","2.0","148","233","7:02","3:55","--","--","1.05","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","01:07.08","3","0.0","--","--","--","--","--","--","00:13:53","00:14:03","--","--"
Kolarstwo,2019-08-23 23:49:47,false,"Gdańsk Kolarstwo","9.99","363","00:31:59","129","147","2.0","--","--","18.7","37.0","15","50","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","00:28:19","00:31:59","5","52"
Inne,2019-08-23 18:36:49,false,"Gdańsk Football","7.06","720","01:45:04","113","141","2.1","52","249","4.0","20.9","1","1","1.29","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","01:25:47","01:45:04","47","50"
Kolarstwo,2019-08-23 17:52:38,false,"Gdańsk Kolarstwo","8.98","319","00:33:48","119","161","2.0","--","--","15.9","35.0","49","14","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","00:28:14","00:33:48","6","54"
Bieganie,2019-08-22 21:16:40,false,"Gdańsk Biegi","4.06","392","00:23:07","166","183","3.7","152","162","5:42","5:08","6","25","1.16","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:18.06","5","0.0","--","--","--","--","--","--","00:22:58","00:23:50","9","38"
Bieganie,2019-08-22 21:06:18,false,"Gdańsk - Benchmark Run","1.46","111","00:09:02.4","130","158","1.6","140","161","6:11","4:02","19","--","1.13","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:02.38","4","0.0","--","--","--","--","--","--","00:08:50","00:09:49.1","15","35"
Kolarstwo,2019-08-20 08:43:04,false,"Gdańsk Kolarstwo","2.97","108","00:09:29.8","123","142","1.1","--","--","18.8","32.6","5","3","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","00:08:34","00:09:30.7","15","23"
Kolarstwo,2019-08-18 12:11:38,false,"Gdańsk Kolarstwo","59.68","2,162","03:32:18","142","177","4.6","--","--","16.9","42.7","609","610","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","--","--","--","--","--","--","03:16:26","03:46:50","--","157"
